Name,Description,Latitude,Longitude,Address
Hong Kong (54),54 Instagram saves · Food 20 · Other 16 · Shopping 12 · Fashion 2 · Spa / Beauty 2 · Attraction 1 · Hotel / Stay 1 · city centroid (not a venue pin) · from Kennedy saved posts,22.3193,114.1694,"Hong Kong, China (Hong Kong)"
Ho Chi Minh City (37),37 Instagram saves · Shopping 16 · Other 8 · Fashion 6 · Attraction 2 · Food 2 · Spa / Beauty 2 · Hotel / Stay 1 · city centroid (not a venue pin) · from Kennedy saved posts,10.8231,106.6297,"Ho Chi Minh City, Vietnam"
Hoi An (12),12 Instagram saves · Shopping 7 · Other 3 · Food 1 · Hotel / Stay 1 · city centroid (not a venue pin) · from Kennedy saved posts,15.8801,108.338,"Hoi An, Vietnam"
Shanghai (11),11 Instagram saves · Other 5 · Fashion 2 · Food 2 · Shopping 1 · Spa / Beauty 1 · city centroid (not a venue pin) · from Kennedy saved posts,31.2304,121.4737,"Shanghai, China"
Da Nang (9),9 Instagram saves · Food 4 · Spa / Beauty 3 · Shopping 2 · city centroid (not a venue pin) · from Kennedy saved posts,16.0544,108.2022,"Da Nang, Vietnam"
Guangzhou (6),6 Instagram saves · Fashion 2 · Spa / Beauty 2 · Food 1 · Hotel / Stay 1 · city centroid (not a venue pin) · from Kennedy saved posts,23.1291,113.2644,"Guangzhou, China"
Chongqing (3),3 Instagram saves · Other 2 · Food 1 · city centroid (not a venue pin) · from Kennedy saved posts,29.4316,106.9123,"Chongqing, China"
Shenzhen (2),2 Instagram saves · Food 1 · Shopping 1 · city centroid (not a venue pin) · from Kennedy saved posts,22.5431,114.0579,"Shenzhen, China"
Beijing (1),1 Instagram saves · Other 1 · city centroid (not a venue pin) · from Kennedy saved posts,39.9042,116.4074,"Beijing, China"
Nanjing (1),1 Instagram saves · Fashion 1 · city centroid (not a venue pin) · from Kennedy saved posts,32.0603,118.7969,"Nanjing, China"
