Name,Description,Address
Old Quarter night stalls,"Shoppin · Crafts, silk · $ · Add slot Day 6 eve if energy · minimal shopping hub","Add slot Day 6 eve if energy · minimal shopping hub, Hanoi, Vietnam"
Hang Gai / Hang Bac streets,"Shoppin · Silk, lacquer · $$ · Walkable from Old Quarter hotel","Hang Gai Street, Hoan Kiem, Hanoi, Vietnam"
Dong Xuan Market,"Shoppin · Souvenirs, fabric · $ · Large covered market · morning best","Dong Xuan Street, Hoan Kiem, Hanoi, Vietnam"
Le Premier Hotel,"Hotel · Recommended · ~$135 (booked) · Hoan Kiem / Old Quarter · 5.0★ · BOOKED · Recommended · conf 3998735961041 · Suite + balcony + breakfast · VND 10,360,000 / 3n · 27 Hang Hanh · check-in 14:00","41 Hang Be Street, Hoan Kiem, Hanoi, Vietnam"
InterContinental Hanoi Landmark72,Hotel · $130 · West Lake / Landmark 72 · 4.9★ · Splurge-alt · skyline views · farther from Old Quarter,"E6 Cau Giay, Hanoi, Vietnam"
MAY DE VILLE Crown Hotel,Hotel · $99 · Hoan Kiem · 4.8★ · Boutique alt · near cathedral,"61 Hang Be Street, Hoan Kiem, Hanoi, Vietnam"
Meritel Hanoi Hotel,Hotel · $95 · Old Quarter · 4.7★ · Value pick · compact rooms,"63 Hang Than Street, Ba Dinh, Hanoi, Vietnam"
Essence Restaurant,"Restaurant · 5.0★ · 6,736 reviews · $$ · Vietnamese · Recommended · arrival dinner Sep 6","38 Tho Nhuom Street, Hoan Kiem, Hanoi, Vietnam"
Hong Hoai's Restaurant,"Restaurant · 4.9★ · 8,818 reviews · $$ · Vietnamese · Old Quarter · high volume · book","48 Hang Bac Street, Hoan Kiem, Hanoi, Vietnam"
Duong's Restaurant & Cooking Class,Restaurant · 4.9★ · — reviews · $$ · Vietnamese · Half-day class + dinner · Sep 7,"101 Ma May Street, Hoan Kiem, Hanoi, Vietnam"
Hanoi Food Culture,Restaurant · 4.9★ · — reviews · $ · Vietnamese · Guided street-food tasting alt,"24 Ta Hien Street, Hoan Kiem, Hanoi, Vietnam"
Hoa Lo Prison (Hanoi Hilton),"Attraction · 4.2★ · 11,027 reviews · History/Museum · Recommended Hanoi · 20th-c. history","1 Hoa Lo Street, Hoan Kiem, Hanoi, Vietnam"
Temple of Literature,Attraction · 4.5★ · — reviews · Temple/Museum · Confucian academy · dawn entry,"58 Quoc Tu Giam Street, Dong Da, Hanoi, Vietnam"
Hoan Kiem Lake & Ngoc Son Temple,Attraction · 4.7★ · — reviews · Landmark/Temple · Old Quarter anchor · evening stroll,"Dinh Tien Hoang Street, Hoan Kiem, Hanoi, Vietnam"
La Siesta Spa (Old Quarter),Spa · 4.7★ · $$ · Vietnamese herbal · 75 min · Recommended · walkable from Old Quarter hotel · Day 6 eve,"94 Ma May Street, Hoan Kiem, Hanoi, Vietnam"
Sofitel Legend Metropole Spa,Spa · 4.8★ · $$$ · Couples ritual · 120 min · Splurge · book ahead · post–cooking class recovery,"15 Ngo Quyen Street, Hoan Kiem, Hanoi, Vietnam"
Footmaster Spa Hang Be,Spa · 4.4★ · $ · Foot massage · 60 min · Rainy-day backup · no reservation,"52 Hang Be Street, Hoan Kiem, Hanoi, Vietnam"
