Name,Description,Address
Ginza,Shoppin · Luxury shopping street · Recommended · flagship stores · tax-free counters,"Recommended · flagship stores · tax-free counters, Tokyo, Japan"
Omotesando,Shoppin · Fashion avenue · Recommended · architecture + boutiques,"Recommended · architecture + boutiques, Tokyo, Japan"
Shimokitazawa,Shoppin · Vintage / indie · Thrift + local designers · low crowd vs Shibuya,"Thrift + local designers · low crowd vs Shibuya, Tokyo, Japan"
Shibuya Cat Street,Shoppin · Street fashion · Sneakers + youth brands,"Sneakers + youth brands, Tokyo, Japan"
Yanaka Ginza Shopping Street,Shoppin · Traditional shotengai · Souvenirs + snacks · quiet local feel,"Souvenirs + snacks · quiet local feel, Tokyo, Japan"
Sakura Cross Hotel Ueno Okachimachi,Hotel · Recommended · $115 · Ueno / Asakusa corridor · 4.8★ · Recommended · compact rooms · walk to Senso-ji · Booking.com,"Ueno / Asakusa corridor, Tokyo, Japan"
Sakura Cross Hotel Ueno-Iriya Annex,Hotel · $127 · Ueno · 4.9★ · Alt · slightly farther from core sights,"Ueno, Tokyo, Japan"
Sakura Cross Hotel Shinjuku East,Hotel · — · Shinjuku · 4.8★ · Shopping-hub alt · busier neighborhood,"Shinjuku, Tokyo, Japan"
Hotel Amanek Kamata Ekimae,Hotel · $50 · Kamata · 4.0★ · Value pick · farther from sights,"Kamata, Tokyo, Japan"
Gyopao Gyoza Shinjuku,"Restaurant · 4.9★ · 2,305 reviews · $ · Japanese / gyoza · Recommended · Shinjuku · casual lunch","Gyopao Gyoza Shinjuku, Tokyo, Japan"
GYOPAO Gyoza Roppongi,"Restaurant · 4.9★ · 3,963 reviews · $ · Japanese / gyoza · Alt · Roppongi evening","GYOPAO Gyoza Roppongi, Tokyo, Japan"
Ichiran Shinjuku Central East,"Restaurant · 4.4★ · 1,331 reviews · $ · Ramen · Solo booth · iconic chain","Ramen, Tokyo, Japan"
Ise Sueyoshi,Restaurant · 4.9★ · 972 reviews · $$$ · Kaiseki · Splurge · reservation required,"Kaiseki, Tokyo, Japan"
Kyubey Ginza Honten,Restaurant · 4.4★ · 909 reviews · $$$$ · Sushi · Omakase splurge · Ginza,"Sushi, Tokyo, Japan"
Senso-ji Temple,"Attraction · 4.4★ · 9,855 reviews · Temple · Recommended · Asakusa · go before 8 AM","Temple, Tokyo, Japan"
Shibuya Sky,Attraction · 4.4★ · 312 reviews · Observation deck · Recommended · city views · book sunset slot,"Observation deck, Tokyo, Japan"
Ginza,"Attraction · 4.3★ · 4,808 reviews · Shopping district · History + luxury window shopping","Shopping district, Tokyo, Japan"
teamLab Planets TOKYO,"Attraction · 4.3★ · 5,280 reviews · Digital art · Rainy-day backup · timed tickets","Digital art, Tokyo, Japan"
Shibuya Crossing,"Attraction · 4.2★ · 7,898 reviews · Landmark · Quick photo · avoid peak Friday PM","Landmark, Tokyo, Japan"
