Name,Description,Address
Tim Ho Wan,"4.1★ · 3,260 reviews · $ · Cantonese / Dim Sum · Recommended · iconic dim sum · expect queue","Tim Ho Wan, Olympian City 2, 18 Hoi Ting Road, Hong Kong"
Man Mo Dim Sum,4.3★ · — reviews · $$ · Cantonese / Dim Sum · Central/Sheung Wan · Sep 4 Star Ferry eve,"7 Elgin Street, Central, Hong Kong"
Dim Sum Square,4.2★ · — reviews · $ · Cantonese / Dim Sum · Value dim sum · Mong Kok corridor,"38 Shanghai Street, Yau Ma Tei, Hong Kong"
Zuma,4.2★ · — reviews · $$$ · Japanese / Izakaya · Splurge · IFC/Central · book ahead,"Zuma Restaurant, 8 Finance Street, Central, Hong Kong"
"The Lobby, Peninsula",4.2★ · — reviews · $$$ · Cantonese / Afternoon tea · Jet-lag brunch splurge · TST,"22 Salisbury Road, Tsim Sha Tsui, Hong Kong"
Essence Restaurant,"5.0★ · 6,736 reviews · $$ · Vietnamese · Recommended · arrival dinner Sep 6","38 Tho Nhuom Street, Hoan Kiem, Hanoi, Vietnam"
Hong Hoai's Restaurant,"4.9★ · 8,818 reviews · $$ · Vietnamese · Old Quarter · high volume · book","48 Hang Bac Street, Hoan Kiem, Hanoi, Vietnam"
Duong's Restaurant & Cooking Class,4.9★ · — reviews · $$ · Vietnamese · Half-day class + dinner · Sep 7,"101 Ma May Street, Hoan Kiem, Hanoi, Vietnam"
Hanoi Food Culture,4.9★ · — reviews · $ · Vietnamese · Guided street-food tasting alt,"24 Ta Hien Street, Hoan Kiem, Hanoi, Vietnam"
Thìa Gỗ Đà Nẵng,"4.8★ · 3,341 reviews · $$ · Seafood · Recommended · Mỹ Khê area · Sep 10","216 Vo Nguyen Giap Street, Son Tra, Da Nang, Vietnam"
Nha Go Viet,4.9★ · — reviews · $$ · Vietnamese · Local favorite · backup dinner,"50 Phan Chu Trinh Street, Hai Chau, Da Nang, Vietnam"
Bếp Cuốn,4.8★ · — reviews · $ · Vietnamese · DIY roll grill · casual,"23 Chau Thi Vinh Te Street, Ngu Hanh Son, Da Nang, Vietnam"
Morning Glory (Hội An),4.5★ · — reviews · $$ · Vietnamese · Desk research · Sep 9 late brunch · reserve,"106 Nguyen Thai Hoc Street, Hoi An, Vietnam"
