Name,Description,Address
Gyopao Gyoza Shinjuku,"4.9★ · 2,305 reviews · $ · Japanese / gyoza · Recommended · Shinjuku · casual lunch","Gyopao Gyoza Shinjuku, Tokyo, Japan"
GYOPAO Gyoza Roppongi,"4.9★ · 3,963 reviews · $ · Japanese / gyoza · Alt · Roppongi evening","GYOPAO Gyoza Roppongi, Tokyo, Japan"
Ichiran Shinjuku Central East,"4.4★ · 1,331 reviews · $ · Ramen · Solo booth · iconic chain","Ramen, Tokyo, Japan"
Ise Sueyoshi,4.9★ · 972 reviews · $$$ · Kaiseki · Splurge · reservation required,"Kaiseki, Tokyo, Japan"
Kyubey Ginza Honten,4.4★ · 909 reviews · $$$$ · Sushi · Omakase splurge · Ginza,"Sushi, Tokyo, Japan"
Wagyu Restaurant Bungo Gion,"5.0★ · 2,010 reviews · $$ · Wagyu / teppanyaki · Recommended · Gion · book ahead","Wagyu / teppanyaki, Kyoto, Japan"
Matsuzakagyu What's Kyoto Muromachi,4.8★ · 761 reviews · $$ · Wagyu · Alt · downtown,"Wagyu, Kyoto, Japan"
Fire Ramen Menbaka,"4.5★ · 1,150 reviews · $ · Ramen · Show-style · tourist fun","Ramen, Kyoto, Japan"
Sugarhill Kyoto,4.7★ · 707 reviews · $$ · International / cafe · Brunch option,"International / cafe, Kyoto, Japan"
Hafuu Honten,4.6★ · 790 reviews · $$ · Wagyu sandwich · Lunch · casual,"Wagyu sandwich, Kyoto, Japan"
