Name,Description,Address
Nishiki Market,Shoppin · Food / crafts arcade · Recommended · kitchenware + pickles · morning,"Recommended · kitchenware + pickles · morning, Kyoto, Japan"
Teramachi & Shinkyogoku,"Shoppin · Covered shopping arcades · Manga, crafts, casual fashion","Manga, crafts, casual fashion, Kyoto, Japan"
Sannenzaka / Ninenzaka,Shoppin · Traditional lane · Ceramics + sweets · go early,"Ceramics + sweets · go early, Kyoto, Japan"
Kyoto Station Isetan,Shoppin · Department store · Depachika food hall · last-day gifts,"Depachika food hall · last-day gifts, Kyoto, Japan"
MIMARU Kyoto Nijo Castle,Hotel · Recommended · $135 · Nijo / downtown west · 4.8★ · Recommended · kitchenette · near Nijo Castle · Expedia,"Nijo / downtown west, Kyoto, Japan"
Miru Kyoto Nishiki,Hotel · $117 · Nishiki market · 4.9★ · Food/shopping corridor · compact,"Miru Kyoto Nishiki, Kyoto, Japan"
Kyoto Takasegawa Bettei,Hotel · $144 · Takase River · 4.9★ · Boutique · traditional lane feel,"Takase River, Kyoto, Japan"
MIMARU Kyoto Shinmachi Sanjo,Hotel · $199 · Sanjo · 4.8★ · Splurge-alt · central,"Sanjo, Kyoto, Japan"
Hotel M's Plus Shijō Ōmiya,Hotel · $28 · Shijo · 4.2★ · Budget backup · small rooms,"Shijo, Kyoto, Japan"
Wagyu Restaurant Bungo Gion,"Restaurant · 5.0★ · 2,010 reviews · $$ · Wagyu / teppanyaki · Recommended · Gion · book ahead","Wagyu / teppanyaki, Kyoto, Japan"
Matsuzakagyu What's Kyoto Muromachi,Restaurant · 4.8★ · 761 reviews · $$ · Wagyu · Alt · downtown,"Wagyu, Kyoto, Japan"
Fire Ramen Menbaka,"Restaurant · 4.5★ · 1,150 reviews · $ · Ramen · Show-style · tourist fun","Ramen, Kyoto, Japan"
Sugarhill Kyoto,Restaurant · 4.7★ · 707 reviews · $$ · International / cafe · Brunch option,"International / cafe, Kyoto, Japan"
Hafuu Honten,Restaurant · 4.6★ · 790 reviews · $$ · Wagyu sandwich · Lunch · casual,"Wagyu sandwich, Kyoto, Japan"
Kinkakuji Temple,"Attraction · 4.5★ · 17,560 reviews · Temple · Recommended · arrive opening (9 AM)","Temple, Kyoto, Japan"
Fushimi Inari Taisha,Attraction · 4.6★ · — reviews · Shrine · Desk research · dawn hike · free,"Shrine, Kyoto, Japan"
Arashiyama Bamboo Grove,Attraction · 4.3★ · — reviews · Nature walk · Desk research · before 7:30 AM,"Nature walk, Kyoto, Japan"
Hidden Kyoto E-Biking tour,"Attraction · 5.0★ · 1,404 reviews · Tour · Low-crowd alt · book ahead","Tour, Kyoto, Japan"
Kyoto Station Building,"Attraction · 4.4★ · 4,331 reviews · Architecture · Free · evening light","Architecture, Kyoto, Japan"
