Name,Description,Address
Sakura Cross Hotel Ueno Okachimachi,$115 · Ueno / Asakusa corridor · 4.8★ · Recommended · compact rooms · walk to Senso-ji · Booking.com,"Ueno / Asakusa corridor, Tokyo, Japan"
Sakura Cross Hotel Ueno-Iriya Annex,$127 · Ueno · 4.9★ · Alt · slightly farther from core sights,"Ueno, Tokyo, Japan"
Sakura Cross Hotel Shinjuku East,— · Shinjuku · 4.8★ · Shopping-hub alt · busier neighborhood,"Shinjuku, Tokyo, Japan"
Hotel Amanek Kamata Ekimae,$50 · Kamata · 4.0★ · Value pick · farther from sights,"Kamata, Tokyo, Japan"
MIMARU Tokyo Ueno Inaricho,$286 · Ueno · 4.9★ · Splurge · apartment-style,"Ueno, Tokyo, Japan"
MIMARU Kyoto Nijo Castle,$135 · Nijo / downtown west · 4.8★ · Recommended · kitchenette · near Nijo Castle · Expedia,"Nijo / downtown west, Kyoto, Japan"
Miru Kyoto Nishiki,$117 · Nishiki market · 4.9★ · Food/shopping corridor · compact,"Miru Kyoto Nishiki, Kyoto, Japan"
Kyoto Takasegawa Bettei,$144 · Takase River · 4.9★ · Boutique · traditional lane feel,"Takase River, Kyoto, Japan"
MIMARU Kyoto Shinmachi Sanjo,$199 · Sanjo · 4.8★ · Splurge-alt · central,"Sanjo, Kyoto, Japan"
Hotel M's Plus Shijō Ōmiya,$28 · Shijo · 4.2★ · Budget backup · small rooms,"Shijo, Kyoto, Japan"
