Name,Description,Address
The Peninsula Spa,4.6★ · $$$$ · Couples massage + solo slot (3 pax) · 90 min · Recommended · jet-lag recovery · book T-7d · Day 2 PM slot,"The Peninsula Spa, 22 Salisbury Road, Tsim Sha Tsui, Hong Kong"
ESPA at The Ritz-Carlton Hong Kong,4.5★ · $$$$ · Signature massage · 60 min · Splurge alt · ICC · harbour views,"International Commerce Centre, 1 Austin Road West, Kowloon, Hong Kong"
Happy Foot Massage (TST),4.2★ · $ · Foot reflexology · 60 min · Value · evening after shopping · walk-in OK,"16 Cameron Road, Tsim Sha Tsui, Hong Kong"
La Siesta Spa (Old Quarter),4.7★ · $$ · Vietnamese herbal · 75 min · Recommended · walkable from Old Quarter hotel · Day 6 eve,"94 Ma May Street, Hoan Kiem, Hanoi, Vietnam"
Sofitel Legend Metropole Spa,4.8★ · $$$ · Couples ritual + solo slot (3 pax) · 120 min · Splurge · book ahead · post–cooking class recovery,"15 Ngo Quyen Street, Hoan Kiem, Hanoi, Vietnam"
Footmaster Spa Hang Be,4.4★ · $ · Foot massage · 60 min · Rainy-day backup · no reservation,"52 Hang Be Street, Hoan Kiem, Hanoi, Vietnam"
Naman Retreat Spa,4.6★ · $$$ · Resort group booking (3 pax) · 90 min · Recommended · on-property · Day 10 low-energy PM,"Giai Phong Street, Hoi An, Vietnam"
Mikazuki Japanese Resorts Spa,4.5★ · $$ · Onsen-style · 60 min · Mid-range alt · Ngũ Hành Sơn · book same day,"Truong Sa Street, Ngu Hanh Son, Da Nang, Vietnam"
Hoi An Herbal Spa,4.6★ · $$ · Herbal compress · 90 min · Ancient Town · post–tailor fitting · Day 9,"11 Nguyen Thai Hoc Street, Hoi An, Vietnam"
Bliss Hoi An Wellness,4.4★ · $$ · Beach massage · 60 min · An Bang · Day 11 morning add-on,"Lac Long Quan Street, An Bang Beach, Hoi An, Vietnam"
