Name,Description,Address
Peak Tram & Victoria Peak,"4.0★ · 9,178 reviews · View/Nature · Recommended HK · go 7:30 AM","33 Garden Road, Central, Hong Kong"
Nan Lian Garden,4.6★ · — reviews · Garden/Temple · Quiet Tang-style garden · Kowloon,"60 Fung Tak Road, Diamond Hill, Hong Kong"
Chi Lin Nunnery,4.6★ · — reviews · Buddhist temple · Adjacent to Nan Lian · free entry,"5 Chi Lin Drive, Diamond Hill, Hong Kong"
Ladies Market,3.6★ · — reviews · Shopping · Not culture — shopping only,"Ladies Market, Tung Choi Street, Mong Kok, Hong Kong"
Temple Street Night Market,3.5★ · — reviews · Market · Evening browse · low culture payoff,"Temple Street Night Market, Jordan, Hong Kong"
Hoa Lo Prison (Hanoi Hilton),"4.2★ · 11,027 reviews · History/Museum · Recommended Hanoi · 20th-c. history","1 Hoa Lo Street, Hoan Kiem, Hanoi, Vietnam"
Temple of Literature,4.5★ · — reviews · Temple/Museum · Confucian academy · dawn entry,"58 Quoc Tu Giam Street, Dong Da, Hanoi, Vietnam"
Hoan Kiem Lake & Ngoc Son Temple,4.7★ · — reviews · Landmark/Temple · Old Quarter anchor · evening stroll,"Dinh Tien Hoang Street, Hoan Kiem, Hanoi, Vietnam"
Marble Mountains (Ngũ Hành Sơn),"4.2★ · 8,244 reviews · Nature/Temple · Recommended DN · caves + pagodas","81 Huyen Tran Cong Chua Street, Ngu Hanh Son, Da Nang, Vietnam"
Hoi An Ancient Town Walking Tour,5.0★ · 687 reviews · Heritage walk · Lantern old town · book guide,"Tran Phu Street, Hoi An, Vietnam"
Hoi An Eco Cooking Class,"5.0★ · 1,080 reviews · Food/Culture · Farm visit + class · half-day","Cam Ha Commune, Hoi An, Vietnam"
Lady Buddha (Son Tra Peninsula),— · — reviews · Viewpoint · Desk — panoramic bay · early AM,"Son Tra Peninsula, Da Nang, Vietnam"
